noteId	raterParticipantId	createdAtMillis	version	agree	disagree	helpful	notHelpful	helpfulnessLevel	helpfulOther	helpfulInformative	helpfulClear	helpfulEmpathetic	helpfulGoodSources	helpfulUniqueContext	helpfulAddressesClaim	helpfulImportantContext	helpfulUnbiasedLanguage	notHelpfulOther	notHelpfulIncorrect	notHelpfulSourcesMissingOrUnreliable	notHelpfulOpinionSpeculationOrBias	notHelpfulMissingKeyPoints	notHelpfulOutdated	notHelpfulHardToUnderstand	notHelpfulArgumentativeOrBiased	notHelpfulOffTopic	notHelpfulSpamHarassmentOrAbuse	notHelpfulIrrelevantSources	notHelpfulOpinionSpeculation	notHelpfulNoteNotNeeded	ratedOnTweetId
1807801430918799752	544F5C7BB68BCC9AC3E28D9E8AEDE7AF4101B5B7A4A2B3E25BA444F00D9BDD34	1711727158849	2	0	0	0	0	HELPFUL	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1807642401500213530
1807462030124949787	544F5C7BB68BCC9AC3E28D9E8AEDE7AF4101B5B7A4A2B3E25BA444F00D9BDD34	1719468626529	2	0	0	0	0	HELPFUL	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1807321009160106104
1807822563457773956	544F5C7BB68BCC9AC3E28D9E8AEDE7AF4101B5B7A4A2B3E25BA444F00D9BDD34	1730474295277	2	0	0	0	0	HELPFUL	0	0	1	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1807792511894663438
1807818125049565695	544F5C7BB68BCC9AC3E28D9E8AEDE7AF4101B5B7A4A2B3E25BA444F00D9BDD34	1730474415837	2	0	0	0	0	NOT_HELPFUL	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1807783706368614780
1807754495637463160	544F5C7BB68BCC9AC3E28D9E8AEDE7AF4101B5B7A4A2B3E25BA444F00D9BDD34	1730474396847	2	0	0	0	0	NOT_HELPFUL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1807739557464477921
1807831310938804558	544F5C7BB68BCC9AC3E28D9E8AEDE7AF4101B5B7A4A2B3E25BA444F00D9BDD34	1730474275108	2	0	0	0	0	HELPFUL	0	0	1	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1807801749794619549
1807841687315927240	544F5C7BB68BCC9AC3E28D9E8AEDE7AF4101B5B7A4A2B3E25BA444F00D9BDD34	1730687401939	2	0	0	0	0	HELPFUL	0	0	1	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1807611449335787668
1807479287668506959	544F5C7BB68BCC9AC3E28D9E8AEDE7AF4101B5B7A4A2B3E25BA444F00D9BDD34	1730865003126	2	0	0	0	0	NOT_HELPFUL	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1807199349429981622
1807831532327129139	544F5C7BB68BCC9AC3E28D9E8AEDE7AF4101B5B7A4A2B3E25BA444F00D9BDD34	1730908554687	2	0	0	0	0	HELPFUL	0	0	1	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1807784784807993775
1807813697672548705	544F5C7BB68BCC9AC3E28D9E8AEDE7AF4101B5B7A4A2B3E25BA444F00D9BDD34	1730908600000	2	0	0	0	0	HELPFUL	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1807778877516783827
